Location,AgeGrp,PopMale,PopFemale,PopTotal
Nigeria,60+,4428.0,4866.0,9294.0
North Macedonia,0-19,235.0,221.0,456.0
North Macedonia,20-39,311.0,295.0,606.0
North Macedonia,40-59,292.0,286.0,578.0
North Macedonia,60+,195.0,229.0,424.0
Norway,0-19,643.0,611.0,1254.0
Norway,20-39,753.0,708.0,1461.0
Norway,40-59,739.0,694.0,1433.0
Norway,60+,595.0,656.0,1251.0
Oceania,0-19,6749.0,6379.0,13128.0
Oceania,20-39,6157.0,6001.0,12158.0
Oceania,40-59,4905.0,4995.0,9900.0
Oceania,60+,3541.0,3929.0,7470.0
Oceania (excluding Australia and New Zealand),0-19,2812.0,2636.0,5448.0
Oceania (excluding Australia and New Zealand),20-39,1927.0,1847.0,3774.0
Oceania (excluding Australia and New Zealand),40-59,1143.0,1122.0,2265.0
Oceania (excluding Australia and New Zealand),60+,402.0,447.0,849.0
Oman,0-19,680.0,677.0,1357.0
Oman,20-39,1858.0,663.0,2521.0
Oman,40-59,707.0,291.0,998.0
Oman,60+,114.0,94.0,208.0
Pakistan,0-19,51332.0,47554.0,98886.0
Pakistan,20-39,36302.0,34441.0,70743.0
Pakistan,40-59,18488.0,17879.0,36367.0
Pakistan,60+,7539.0,7336.0,14875.0
Panama,0-19,764.0,733.0,1497.0
